"ArrayRegularity","NRL","Shift","ORF"
0.64,155,0,"YAL068C"
0.83,174,-2,"YAL067C"
0.81,167,-14,"YAL064W"
0.84,180,29,"YAL063C"
0.81,203,0,"YAL062W"
0.78,187,-1,"YAL060W"
0.8,166,-1,"YAL059W"
0.83,169,6,"YAL058W"
0.82,165,-5,"YAL056W"
0.84,172,1,"YAL055W"
0.9,167,6,"YAL054C"
0.95,170,1,"YAL053W"
0.89,168,-3,"YAL051W"
0.95,166,2,"YAL049C"
0.86,168,-11,"YAL048C"
0.87,170,-3,"YAL047C"
0.68,176,-8,"YAL046C"
0.92,177,0,"YAL044C"
0.91,164,9,"YAL043C"
0.95,167,-7,"YAL042W"
0.84,167,1,"YAL041W"
0.85,180,6,"YAL040C"
0.75,164,-16,"YAL039C"
0.49,143,-44,"YAL038W"
0.93,165,2,"YAL036C"
0.84,158,0,"YAL035W"
0.88,164,1,"YAL034W-A"
0.77,161,-2,"YAL034C"
0.87,168,-9,"YAL033W"
0.86,170,3,"YAL032C"
0.94,166,8,"YAL031C"
0.86,173,0,"YAL030W"
0.91,174,14,"YAL029C"
0.83,169,0,"YAL028W"
0.87,169,-21,"YAL027W"
0.88,165,3,"YAL026C"
0.96,164,0,"YAL025C"
0.94,164,-2,"YAL024C"
0.88,163,9,"YAL023C"
0.89,164,-4,"YAL022C"
0.89,163,2,"YAL021C"
0.72,159,0,"YAL020C"
0.95,164,0,"YAL019W"
0.84,165,-8,"YAL017W"
0.86,163,7,"YAL016W"
0.79,176,-8,"YAL015C"
0.85,153,21,"YAL014C"
0.89,167,-1,"YAL013W"
0.96,174,3,"YAL012W"
0.93,166,10,"YAL011W"
0.85,163,-6,"YAL010C"
0.85,163,13,"YAL009W"
0.68,167,6,"YAL008W"
0.87,162,0,"YAL007C"
0.41,208,-51,"YAL005C"
0.64,153,-31,"YAL003W"
0.78,158,-20,"YAL002W"
0.91,166,13,"YAL001C"
0.9,166,0,"YAR002W"
0.85,178,-5,"YAR002C-A"
0.94,165,1,"YAR003W"
0.86,167,-5,"YAR007C"
0.74,165,0,"YAR008W"
0.88,167,0,"YAR014C"
0.88,168,-1,"YAR015W"
0.9,173,6,"YAR018C"
0.9,166,1,"YAR019C"
0.86,183,-4,"YAR027W"
0.7,193,-21,"YAR033W"
0.83,167,0,"YAR042W"
0.22,218,70,"YAR071W"
0.34,195,1,"YBL108C-A"
0.89,168,21,"YBL106C"
0.94,163,8,"YBL105C"
0.92,168,4,"YBL103C"
0.93,167,-9,"YBL102W"
0.67,185,-5,"YBL101C"
0.9,158,-3,"YBL099W"
0.89,166,2,"YBL098W"
0.94,166,-2,"YBL097W"
0.93,169,0,"YBL093C"
0.69,150,16,"YBL092W"
0.73,170,-18,"YBL091C-A"
0.89,173,-6,"YBL091C"
0.72,182,-6,"YBL090W"
0.92,162,12,"YBL089W"
0.79,164,-3,"YBL088C"
0.85,164,24,"YBL087C"
0.91,166,0,"YBL085W"
0.91,165,2,"YBL084C"
0.81,181,4,"YBL082C"
0.91,172,6,"YBL080C"
0.87,166,3,"YBL079W"
0.88,164,-21,"YBL078C"
0.66,168,0,"YBL076C"
0.87,162,-4,"YBL075C"
0.89,164,4,"YBL074C"
0.54,164,4,"YBL072C"
0.54,146,0,"YBL071W-A"
0.89,169,10,"YBL069W"
0.81,160,3,"YBL068W"
0.95,167,0,"YBL067C"
0.82,156,1,"YBL064C"
0.92,165,0,"YBL063W"
0.92,167,11,"YBL061C"
0.89,167,3,"YBL060W"
0.89,176,4,"YBL059C-A"
0.74,163,3,"YBL058W"
0.87,168,4,"YBL057C"
0.86,165,-9,"YBL056W"
0.92,168,12,"YBL055C"
0.91,171,16,"YBL054W"
0.93,169,0,"YBL052C"
0.85,163,2,"YBL051C"
0.91,162,0,"YBL050W"
0.75,174,30,"YBL049W"
0.82,164,0,"YBL047C"
0.87,169,18,"YBL046W"
0.9,164,12,"YBL045C"
0.71,171,39,"YBL043W"
0.81,162,21,"YBL042C"
0.68,153,8,"YBL041W"
0.91,167,-1,"YBL040C"
0.89,162,14,"YBL039C"
0.72,188,-11,"YBL038W"
0.86,161,0,"YBL037W"
0.89,167,-5,"YBL036C"
0.89,167,0,"YBL035C"
0.9,168,-7,"YBL034C"
0.86,161,0,"YBL033C"
0.92,165,-4,"YBL032W"
0.93,173,3,"YBL031W"
0.79,168,-19,"YBL030C"
0.81,164,17,"YBL028C"
0.77,158,-18,"YBL027W"
0.59,209,-32,"YBL026W"
0.79,155,6,"YBL025W"
0.95,167,5,"YBL024W"
0.95,166,-7,"YBL023C"
0.88,161,0,"YBL022C"
0.65,220,27,"YBL021C"
0.89,168,0,"YBL020W"
0.82,172,14,"YBL019W"
0.91,171,-1,"YBL018C"
0.92,162,0,"YBL017C"
0.84,165,17,"YBL016W"
0.84,169,23,"YBL015W"
0.89,161,0,"YBL014C"
0.67,192,0,"YBL013W"
0.93,168,-5,"YBL011W"
0.95,169,14,"YBL009W"
0.84,167,-10,"YBL008W"
0.89,164,20,"YBL007C"
0.59,148,6,"YBL006C"
0.96,177,0,"YBL005W"
0.95,166,0,"YBL004W"
0.78,184,-5,"YBL003C"
0.52,143,32,"YBL002W"
0.81,190,-5,"YBL001C"
0.93,166,18,"YBR001C"
0.92,172,3,"YBR002C"
0.96,169,4,"YBR003W"
0.72,157,-30,"YBR004C"
0.78,149,-3,"YBR005W"
0.68,174,-21,"YBR006W"
0.45,172,70,"YBR009C"
0.55,212,-53,"YBR010W"
0.74,164,-7,"YBR011C"
0.62,143,0,"YBR014C"
0.93,171,4,"YBR015C"
0.82,176,-20,"YBR016W"
0.89,165,0,"YBR017C"
0.93,172,-2,"YBR018C"
0.97,170,10,"YBR019C"
0.81,171,0,"YBR020W"
0.85,170,4,"YBR021W"
0.8,182,-14,"YBR022W"
0.89,170,17,"YBR023C"
0.86,166,1,"YBR024W"
0.75,157,-2,"YBR025C"
0.83,162,0,"YBR026C"
0.92,164,0,"YBR029C"
0.86,171,41,"YBR030W"
0.4,166,4,"YBR031W"
0.87,165,0,"YBR034C"
0.84,166,-7,"YBR035C"
0.81,164,0,"YBR036C"
0.91,162,0,"YBR037C"
0.94,170,5,"YBR038W"
0.91,171,13,"YBR039W"
0.77,159,7,"YBR040W"
0.93,166,1,"YBR041W"
0.95,173,7,"YBR042C"
0.87,168,7,"YBR043C"
0.88,181,3,"YBR044C"
0.84,183,23,"YBR045C"
0.89,172,-25,"YBR046C"
0.79,163,17,"YBR048W"
0.69,155,-17,"YBR049C"
0.88,163,4,"YBR050C"
0.9,169,-14,"YBR052C"
0.75,130,0,"YBR054W"
0.7,166,-5,"YBR055C"
0.95,165,0,"YBR057C"
0.95,165,-3,"YBR058C"
0.7,187,-10,"YBR058C-A"
0.87,164,-13,"YBR059C"
0.93,169,2,"YBR060C"
0.94,171,-20,"YBR061C"
0.92,169,4,"YBR065C"
0.76,186,0,"YBR066C"
0.74,141,-15,"YBR067C"
0.6,168,24,"YBR068C"
0.81,159,-9,"YBR069C"
0.9,162,0,"YBR070C"
0.62,168,-17,"YBR072W"
0.91,167,16,"YBR073W"
0.88,166,-5,"YBR076W"
0.6,172,-2,"YBR077C"
0.71,163,2,"YBR078W"
0.91,160,2,"YBR079C"
0.95,167,4,"YBR080C"
0.9,163,-5,"YBR081C"
0.82,168,-39,"YBR082C"
0.69,172,16,"YBR083W"
0.92,168,8,"YBR084W"
0.85,165,0,"YBR084C-A"
0.88,162,0,"YBR085W"
0.86,168,-41,"YBR086C"
0.85,166,8,"YBR087W"
0.86,172,6,"YBR088C"
0.6,192,63,"YBR089C-A"
0.64,155,-1,"YBR091C"
0.92,173,-2,"YBR092C"
0.83,166,14,"YBR093C"
0.95,167,11,"YBR094W"
0.95,169,0,"YBR095C"
0.89,167,2,"YBR097W"
0.94,167,0,"YBR098W"
0.9,160,0,"YBR101C"
0.89,164,-6,"YBR102C"
0.94,167,1,"YBR103W"
0.97,169,0,"YBR104W"
0.74,172,9,"YBR105C"
0.82,179,0,"YBR106W"
0.93,184,-9,"YBR107C"
0.9,168,9,"YBR108W"
0.83,164,-6,"YBR109C"
